Sentence_Type,Class_Type,,,
"
have you got your postcode first of all",question,,,
"
how many people's travelling",question,,,
"
you're quite welcome",statement,,,
"
that's leaving on the 13th at 2:10  p m on America West",statement,,,
p... p... put me on the American,command,,,
"
the only thing that's going to apply is full coach",statement,,,
"
we don't have a profile for him",statement,,,
"
how many people's travelling tomorrow",question,,,
"
we're going to have to reissue the ticket",statement,,,
"
i have to be in Richmond on Friday",statement,,,
hang on,command,,,
"
if you wanted to wait",statement,,,
let me just check the um,command,,,
"
let me just  start a new reservation for him",command,,,
"
what are the rates",question,,,
"
tell me this",command,,,
"
 they're on the same route",statement,,,
"
 and do i actually purchase those tickets at the station or d... on the train or",question,,,
"
i'll take the Piedmont flight",statement,,,
"
if i leave much after two in the morning on Sunday",statement,,,
"
i suppose that's that's",statement,,,
"
do they care how we how we talk",question,,,
"
for which journey do you wish to purchase a ticket",question,,,
"
they don't have morning service that will get you there any earlier",statement,,,
"
it really won't affect the cost",statement,,,
"
and you are",statement,,,
"
and it must be on the company headed paper",statement,,,
"
the 8:20 flight",statement,,,
"
i'm going up there this afternoon",statement,,,
"
and this is just going to be one way only right",statement,,,
"
and this is from San Francisco",statement,,,
"
i'm giving you this as a company card i'm giving you",statement,,,
"
if i book a ticket",statement,,,
"
is there any particular date that you're looking for",question,,,
"
there is a Piedmont flight which is non-stop from Newark to Richmond leaving at 4:05 in the afternoon on a Thursday",statement,,,
"
when would be the e... the earliest flight arriving on uh for Friday so",question,,,
"
 can he go  to Hong Kong",question,,,
"
then you arrive in Blackpool North at 17:24",statement,,,
"
so  you'll have to not",statement,,,
"
and what is that flight number",question,,,
"
that's  non-smoking",statement,,,
"
this portion was for Baltimore San Francisco only",statement,,,
"
what have i got",question,,,
"
i'd like to make a personal reservation",statement,,,
"
what date is it you're returning",question,,,
"
could you just uh d... do the same thing you did for me then",question,,,
"
 it's one of the last ones",statement,,,
"
and they're signposted Telesales Collection",statement,,,
"
and this is  on the 13th of June out of San Jose at 2:10 p m",statement,,,
"
i'm unfortunately i haven't got a copy of the a current copy of the timetable with me",statement,,,
"
 can we leave it open for returning",question,,,
"
 and confirm the address for me please",command,,,
"
let's take a look",command,,,
"
if you have to change any of the times of travel",statement,,,
"
and the total cost is 14 pounds return",statement,,,
"
it all depends on what's available at the time of his booking and if he's going to be staying over a Saturday night and if he's going to purchase the tickets at least 14 days prior to his departure and willing to take a penalty fare",statement,,,
"
 it's B C down to Richmond on Thursday afternoon",statement,,,
"
if  if you couldn't make your journey and wanted to cancel this ticket",statement,,,
"
i'll take that 4:38 United 5 2 5",statement,,,
"
so it would be a Korean Airline 11 a m arriving 2:10 on Friday",statement,,,
"
or can you do for a week",question,,,
just ticket it,command,,,
"
so there is 21 minutes for you",statement,,,
"
it's 1076 is the lowest fare that we could confirm",statement,,,
"
we do",statement,,,
"
you arrive in Wilmslow for 16:25",statement,,,
"
what i'm going to have to do is arrange for you to collect your tickets from the train station",statement,,,
"
when G was",statement,,,
"
let me see what we have um seating-wise",command,,,
"
or it was maybe like 11 30 or something",statement,,,
"
is there one sort of er twoish",question,,,
"
you have to make the reservation er buy the ticket within 20 hours after reservations are made",statement,,,
"
 i don't have an address",statement,,,
"
we could always uh always change them now",statement,,,
"
 whatever's available really",statement,,,
"
you can leave it open for the calendar month  like you said",statement,,,
"
but he is not one of the regulars",statement,,,
"
 and you arrive in London Euston for 13 hundred",statement,,,
"
i think i'm going to forget that",statement,,,
w... wait a second,command,,,
"
we have enough advance purchase time that i can get a non-refundable fare on the return",statement,,,
"
the question is how can i get can i get to Ne... Newark to Richmond either Thursday afternoon or Friday morning early",statement,,,
"
i show",statement,,,
"
there'd be a 4:40 departure uh on Alaskan Air",statement,,,
"
it's 208 miles southeast of Fairbanks",statement,,,
"
if i happen to miss a flight",statement,,,
"
n... n... that's too late",statement,,,
"
you must stick to the dates and the times that you have booked",statement,,,
"
let's do it Wednesday and deliver them on Thursday",command,,,
"
 the Wednesday's available",statement,,,
"
there's a train at 15:05 from Crewe",statement,,,
"
i think it's just different fares",statement,,,
"
the fares are looking a little more sold out than than what i was quoting you",statement,,,
"
the 2nd of August",statement,,,
"
because you're travelling this Sunday",statement,,,
"
i think i'm going to check the fare",statement,,,
"
it's still 6:08 any which way we do this",statement,,,
"
can i put you on hold for a moment",question,,,
"
i think i i got a Super Advance or a Super Saver or something like that",statement,,,
"
i'm just checking it now",statement,,,
"
do you want me go ahead and book this ticket for you",question,,,
"
let's take a look here",command,,,
"
and the fare  is 19 pound 80",statement,,,
"
 i arrive in at",statement,,,
"
and let me give you the flight information",command,,,
"
and again this return flight will be for CC and his wife",statement,,,
"
it'll still be the same amount or",statement,,,
"
 can we just confirm the time",question,,,
"
and i think they're coming back on Sunday the 11th at 5 o'clock",statement,,,
"
and what else needed to be changed then",statement,,,
"
you have to take a 25 percent penalty fare",statement,,,
"
and that's a Friday",statement,,,
"
you are able to get the next available one",statement,,,
"
and do you have a preference as to airlines",question,,,
"
 the 17 hundred from Edinburgh",statement,,,
"
and if if i need to change",statement,,,
"
and the ticket will be waiting there at the train station",statement,,,
"
i'm just checking that out for you",statement,,,
try Helsinki,command,,,
"
 there's not any advance purchase tickets left for the 9th now",statement,,,
"
are you actually checking that again",question,,,
"
would it",question,,,
"
the 61 pounds 50 is called a Super Saver",statement,,,
"
i've just checked these train times",statement,,,
"
that's American or Northwest",statement,,,
